N,J,Jc,mean_rate,spectral_abscissa,kappa_P,henrici_departure,numerical_abscissa
2000.0,0.48,0.6000000000000001,5.87526,-53.35031238869213,4.231965231724523,816.2161833592093,332.20535997618396
2000.0,0.49,0.6000000000000001,8.52003,-33.30468522461676,3.4119935892108684,888.3314766873784,251.44981767857598
2000.0,0.5,0.6000000000000001,6.32702,-50.26765597354243,3.686226448164008,825.9007744758328,264.9981651376644
2000.0,0.51,0.6000000000000001,5.55267,-49.70813186333163,4.064733219242057,782.4972331220353,317.9064653163012
2000.0,0.52,0.6000000000000001,3.99726,-57.24277515083837,3.911237284491223,757.6854447647013,296.9229697765021
5000.0,0.48,0.6000000000000001,4.829385,-77.09718622444456,4.110731834987123,807.1925230607064,302.9028959835771
5000.0,0.49,0.6000000000000001,4.76236,-75.59158094809672,4.010536432119371,776.1939065859459,288.4195303717972
5000.0,0.5,0.6000000000000001,3.889855,-97.78463209021783,3.9549314899888257,786.658190400774,270.64191785274136
5000.0,0.51,0.6000000000000001,4.406145,-77.77776455265072,3.626598623767678,655.5713180901598,225.1028924479399
5000.0,0.52,0.6000000000000001,6.30042,-72.44198756378886,3.4096492179531985,761.2260282965678,219.24543066194346
5000.0,0.53,0.6000000000000001,6.985865,-55.31011217179918,3.568344360291686,814.1441541095764,266.01082652173136
10000.0,0.46,0.6000000000000001,6.886126666666666,-72.41050252537595,3.950332285098074,984.314768520681,306.3303215582369
10000.0,0.48,0.6000000000000001,3.915233333333333,-106.91151410098523,3.6439127517984264,638.7786483925945,189.6190102088224
10000.0,0.5,0.6000000000000001,4.76861,-87.07119453135067,3.695257620608981,686.3439988356226,231.3148855811204
10000.0,0.52,0.6000000000000001,7.932153333333333,-73.81467273613367,3.552534235875157,857.604612063713,248.77120235183057
10000.0,0.54,0.6000000000000001,3.7025366666666666,-99.68888010343817,3.2940354557411418,594.8510938726557,170.85557605627002
10000.0,0.56,0.6000000000000001,3.67489,-103.19002402759459,3.404016401465961,651.9517534699547,194.79496009113802
